Document,Page,Category,Confidence,Description,Quote,Entities,Has Relationship
198-10004-10076,60,CIA_FBI_ACTIVITIES,6,Secret document outlining strategic actions related to Cuba,Inform NATO and OAS twelve hours in advance of the proclamation of the four point shipping orders,Cuba,No
198-10004-10076,61,FOREIGN_GOVERNMENT_REACTIONS,7,Document discusses diplomatic strategy regarding Cuba and Soviet bloc,"At the termination of the U. S. Chefs of Mission Conference in El Salvador on January 28-30, Assistant Secretary Martin will visit the Presidents of Chile, Mexico and Brazil to convey the importance President Kennedy attaches to maintaining hemispheric solidarity by supporting the following resolutions",Cuba|Soviet,No
198-10004-10076,61,CIA_FBI_ACTIVITIES,6,Proposed OAS resolutions targeting Cuba's activities,"An OAS resolution condemning Cuba for its actions which continue to endanger the peace, deploring refusal to allow inspection, condemning the presence of Soviet troops",Cuba|Soviet,No
198-10004-10076,62,CIA_FBI_ACTIVITIES,8,Secret document outlining covert operations against Cuba,"In addition to current covert programs such as intelligence collection, radio broadcasts, recruitment of Cuban officials as agents, support of the Cuban Revolutionary Council (CRC) activities, and infiltration of propaganda materials",CIA|Cuba,No
198-10004-10076,62,FOREIGN_GOVERNMENT_REACTIONS,7,Strategies to isolate Cuba internationally,We will request that NATO include Cuba on the list of countries to which shipment of COCOM list (strategic) items is prohibited,Cuba,No
198-10004-10076,63,CIA_OPERATIONS,7,Document appears to be a secret CIA document discussing covert operations against Cuba,Assist Cuban exiles in developing a capability to launch balloons carrying leaflets and other propaganda materials from international waters into Cuba.,CIA|Cuba,No
198-10004-10076,64,US_FOREIGN_POLICY,9,Detailed US policy document about overthrowing the Castro/Communist regime in Cuba,The ultimate objective is the overthrow of the Castro/Communist regime is replacement by one more compatible with the objectives of the U.S.,Cuba,No
198-10004-10076,64,CIA_ACTIVITIES,8,Outlines covert action strategies against Cuba,"Isolating, undermining and interacting with Castro/Communist regime through feasible diplomatic, economic, covert actions may achieve the immediate objectives",Cuba,No
198-10004-10076,64,MILITARY_OPERATIONS,7,Potential military support for anti-Castro groups,"We should be in a position to respond with open military support (to include such items as material, advisors, training, and special forces support)",Cuba,No
198-10004-10076,65,CIA_FBI_ACTIVITIES,7,"Document appears to be a policy document about actions against Cuba, involving U.S. military and intelligence operations","Intensive, comprehensive and continuing intelligence gathering on Cuba should be identified as a primary objective of the national intelligence effort.",Cuba,No
198-10004-10076,65,FOREIGN_GOVERNMENT_REACTIONS,6,References Soviet concerns about U.S. actions in the hemisphere,Soviet actions that threaten the peace or security of the hemisphere. This does not preclude appropriate U.S. retaliation for hostile acts by the Castro Communist or Soviet forces.,Soviet,No
198-10004-10076,66,CIA_FBI_ACTIVITIES,7,Detailed covert action plan targeting Cuba and Latin American security,"This course of action would involve a broad gamut of carefully timed political, economic, psychological and covert actions, such as OAS negotiations, Caribbean security arrangements, intensified surveillance and public security concerning Castro/Communist subversive activities in Latin America",CIA|Cuba,No
198-10004-10076,66,FOREIGN_GOVERNMENT_REACTIONS,6,Potential international political reactions to U.S. actions,It is difficult to predict the reaction of the Latin American governments. They may attack the U.S. for 'intervening' or they may react favorably (as they did during the missile crisis).,,No
198-10004-10076,67,CIA_FBI_ACTIVITIES,7,Secret document discussing US policy towards Castro/Communist Cuba,The active pursuit of our objective will make it clear that the U. S. will not permit the maintenance of a communist base in the hemisphere.,Cuba,No
198-10004-10076,67,FOREIGN_GOVERNMENT_REACTIONS,6,Reference to Sino-Soviet Bloc and potential international implications,"From the standpoint of military posture, the more active approach may be subjected to counteractions from the Sino-Soviet Bloc elsewhere.",Cuba|Soviet,No
198-10004-10076,68,INTERNAL_GOVT_COMMUNICATIONS,7,Secret document showing internal disagreement about policy recommendations regarding a Castro/Communist regime,I do not concur in the policy recommended by the Coordinator. Alternative I does not make the overthrow of the Castro/Communist regime an objective of the U.S.,,No
198-10004-10076,68,CIA_FBI_ACTIVITIES,6,Recommendation document with two alternative policy approaches,I recommend approval of Alternative I... I recommend adoption of Alternative II.,,No
198-10004-10076,70,US_CUBA_POLICY,9,Secret memorandum detailing US policy towards Cuba in January 1963,"As for our part, if all offensive weapons systems are removed from Cuba and kept out of the hemisphere in the future, under adequate verification and safeguards, and if Cuba is not used for the export of aggressive communist purposes, there will be peace in the Caribbean.",Cuba,No
198-10004-10076,70,FOREIGN_GOVERNMENT_REACTIONS,7,US policy statement indicates ongoing tensions with Communist Cuba,We shall neither initiate nor permit aggression in this hemisphere.,Cuba,No
198-10004-10076,71,FOREIGN_GOVERNMENT_REACTIONS,7,Detailed US objectives regarding Cuba and Soviet influence,Removing remaining Soviet forces from Cuba,Cuba|Soviet,No
198-10004-10076,71,CIA_FBI_ACTIVITIES,8,US strategic objectives to undermine Cuban government,Reducing the capabilities of the Castro regime to direct and support subversion and insurrection within the Hemisphere,,No
198-10004-10076,71,FOREIGN_GOVERNMENT_REACTIONS,6,US goal to break Cuban ties with Communist bloc,Encouraging and supporting any developments within Cuba that offer the possibility of replacing the Cuban Government with a regime that would break with the Sino-Soviet Bloc,Cuba|Soviet,No
198-10004-10076,72,CIA_FBI_ACTIVITIES,6,Top secret document outlining U.S. government objectives regarding Cuba,"Maximizing the political isolation of the Castro regime from other free world states, and especially from states of the OAS",Cuba,No
198-10004-10076,73,CIA_ACTIVITIES,8,"Detailed covert program targeting Cuba, including intelligence collection, recruitment of Cuban officials, and propaganda infiltration","In addition to current covert program, such as intelligence collection, recruitment of Cuban officials as agents, radio broadcasts, support of the Cuban Revolutionary Council (CRC) and other exile group activities and infiltration of propaganda materials",CIA|Cuba,No
198-10004-10076,73,FOREIGN_GOVERNMENT_REACTIONS,7,Focus on internal Cuban regime destabilization through exile groups,"Support the efforts of certain Cuban exiles, who are associated with the original aims of the 26 of July Movement and who believe that the Castro regime can be overthrown from within",,No
198-10004-10076,74,CIA_ACTIVITIES,7,Secret document detailing covert operations against Cuba,Assist Cuban exiles in developing a capability to launch balloons carrying leaflets and other propaganda materials from international waters into Cuba,CIA|Cuba,No
198-10004-10076,74,FOREIGN_GOVERNMENT_REACTIONS,6,Negotiations related to American prisoners,Results of Mr. Donovan's imminent negotiations with Fidel Castro for freeing the 20-odd American prisoners,Cuba,No
198-10004-10076,76,FOREIGN_GOVERNMENT_REACTIONS,7,Discussion of US diplomatic efforts regarding Cuba and Soviet bloc,"At the termination of the U. S. Chiefs of Mission Conference... Assistant Secretary Martin, or another representative of the President will visit the Presidents of Chile, Mexico and Brazil to convey the importance President Kennedy attaches to maintaining hemispheric solidarity",Cuba|Soviet,No
198-10004-10076,76,CIA_FBI_ACTIVITIES,6,Proposed OAS resolutions against Cuba,"An OAS resolution condemning Cuba for its actions which continue to endanger the peace, deploring refusal to allow inspection, condemning the presence of Soviet troops, recommending continued vigilance against subversive activities",Cuba|Soviet,No
198-10004-10076,77,FOREIGN_GOVERNMENT_REACTIONS,6,Document discusses diplomatic actions regarding Cuba through OAS and NATO,"After obtaining the maximum possible support of the key countries of Mexico, Chile and Brazil, the other OAS members will be approached in Washington and in their respective capitals, simultaneously.",Cuba,No
198-10004-10076,78,CONTINGENCY_PLANNING,8,"Secret document discussing contingency planning for Cuba, including potential actions against Castro regime",Contingency Planning: New opportunities for accomplishing our objectives may arise either as a result of Bloc action in other parts of the world; as a result of aggressive moves (or isolated hostile actions) by the Castro-Communist regime itself; or as a result of uprisings or internal conflict within Cuba.,Cuba,No
198-10004-10076,78,FOREIGN_GOVERNMENT_REACTIONS,6,Discusses potential multilateral and bilateral political and economic measures against Cuba,"Our contingency planning... should include preparations for increased multilateral and/or bilateral political and economic measures, large scale use of Cubans who are now inside Cuba",Cuba,No
198-10004-10076,79,FOREIGN_GOVERNMENT_REACTIONS,7,"Discussion of potential U.S. military actions against Cuba, including involvement of free Cubans and Latin American nations",U.S. military forces employed against Cuba should be accompanied by U.S. militarily-trained free Cubans and by the armed forces of those Latin American nations desirous of participating in the U.S. effort.,Cuba,No
198-10004-10076,1,US_POLICY_CUBA,9,Secret memorandum outlining US policy towards Cuba in early 1963,"We will not, of course, abandon the political, economic and other efforts of this hemisphere to halt subversion from Cuba, nor our purpose and hope that the Cuban people shall some day be truly free.",Cuba,No
198-10004-10076,2,FOREIGN_GOVERNMENT_REACTIONS,7,U.S. strategic objectives regarding Cuba and Soviet influence,Removal of remaining Soviet forces from Cuba,Cuba|Soviet,No
198-10004-10076,2,CIA_FBI_ACTIVITIES,8,Comprehensive U.S. policy objectives for destabilizing Cuban government,Reducing the capabilities of the Castro regime to direct and support subversion and insurrection within the other OAS states,Soviet,No
198-10004-10076,4,CIA_COVERT_OPERATIONS,8,"Detailed plans for covert activities targeting Cuba, including intelligence collection, recruitment, and propaganda infiltration","In addition to current covert program, such as intelligence collection, recruitment of Cuban officials as agents, radio broadcasts, support of Cuban Revolutionary Council (CRC) and other exile group activities and infiltration of propaganda materials",CIA|Cuba,No
198-10004-10076,4,CUBAN_EXILE_OPERATIONS,7,Strategic support for Cuban exiles aimed at overthrowing Castro regime,"Support the efforts of certain Cuban exiles, who are associated with the original aims of the 26 of July Movement and who believe that the Castro regime can be overthrown from within",CIA,No
198-10004-10076,5,CIA_OPERATIONS,7,"Document details covert operations against Cuba, including propaganda balloon launches",Assist Cuban exiles in developing a capability to launch balloons carrying leaflets and other propaganda materials from international waters into Cuba.,CIA|Cuba,No
198-10004-10076,5,DIPLOMATIC_NEGOTIATIONS,6,Negotiation efforts for releasing American prisoners with Fidel Castro,Await results of Mr. Donovan's imminent negotiations with Fidel Castro for freeing the 20-odd American prisoners.,Cuba,No
198-10004-10076,5,INTERNATIONAL_RELATIONS,8,Planned shipping blockade and international coordination against Cuba,Inform NATO and OAS twelve hours in advance of the proclamation of the four point shipping orders.,Cuba,No
198-10004-10076,6,US_CUBA_RELATIONS,8,Document outlines trade and shipping restrictions against Cuba,close United States ports to any ship which has carried goods in the bloc-Cuba trade within 120 days of the time it seeks to enter a United States port;,Cuba,No
198-10004-10076,6,TRADE_RESTRICTIONS,9,Comprehensive shipping and trade prohibition for US flag ships and ships owned by US nationals,prohibit all United States flag ships and all ships owned by United States nationals or residents from entering any ports of Cuba and from carrying any goods bound to or from Cuba; and,Cuba,No
198-10004-10076,9,CIA_FOREIGN_POLICY,7,"Secret document detailing US strategy against Cuba, focusing on economic and shipping restrictions","to get agreement from Free World Industrial nations to prevent shipping of critical spare parts and equipment to Cuba, not on the COCOM list.",Cuba,No
198-10004-10076,9,CONTINGENCY_PLANNING,8,Detailed contingency planning for potential scenarios involving Cuba,"Our contingency planning, which will be undertaken immediately, should include preparations for increased multilateral and/or bilateral political and economic measures, large scale use of Cubans who are not inside Cuba; more extensive air activity",Cuba,No
198-10004-10076,10,U.S._MILITARY_OPERATIONS,8,Detailed plan for potential military intervention in Cuba,"ultimately, the use of U.S. military force. To the extent feasible, U.S. military forces employed against Cuba should be accompanied by U.S. militarily-trained free Cubans and by the armed forces of those Latin American nations desirous of participating in the U.S. effort.",Cuba,No
198-10004-10076,10,FOREIGN_GOVERNMENT_REACTIONS,7,Proposed actions against Cuban officials and infrastructure,ment of Cuban officials in other countries; severance of communications to Cuba; major acts of sabotage on shipping destined for Cuba and on key installations in Cuba; intensive naval patrols,Cuba,No
198-10004-10076,91,INTERNAL_GOVT_COMMUNICATIONS,7,Confidential NSC Executive Committee memo about Cuba policy,CUBA - Back-up Papers and a Summary of Recommendations of the Coordinator of Cuban Affairs,Cuba,No
198-10004-10076,91,FOREIGN_GOVERNMENT_REACTIONS,6,Multiple policy documents related to Cuba and Cuban Brigade,United States Policy Toward the Cuban Brigade,Cuba,No
198-10004-10076,92,U.S._POLICY_CUBA,9,Secret National Security Council memorandum outlining U.S. policy objectives regarding Cuba in January 1963,Protecting the security of the United States and the other states of the Organization of American States by assuring that offensive weapons are not reintroduced into Cuba,Cuba|Soviet,No
198-10004-10076,92,FOREIGN_GOVERNMENT_REACTIONS,7,U.S. objectives focused on reducing Castro regime's capabilities and supporting potential internal opposition,Reducing the capabilities of the Castro regime to direct and support subversion and insurrection within the other OAS states,,No
198-10004-10076,92,CIA_FBI_ACTIVITIES,8,U.S. policy explicitly seeks regime change in Cuba,Encouraging and supporting any developments within Cuba that offer the possibility of replacing the Cuban Government with a regime that would break with the Sino-Soviet Bloc,Cuba|Soviet,No
198-10004-10076,93,US_POLICY_CUBA,8,Secret document outlining US objectives regarding Cuba and the Castro regime,being understood that our ultimate objective is replacement of the regime by one fully compatible with the goals of the United States,Cuba,No
198-10004-10076,93,FOREIGN_POLICY,7,Objectives include politically isolating Cuba and maximizing cost to Soviet Union,"Maximizing the political isolation of the Castro regime from other Free World states, and especially from states of the OAS",Cuba|Soviet,No
198-10004-10076,93,MILITARY_CONTINGENCY,6,Preparation for potential military contingencies against Cuba,"Being prepared to meet, with the employment of appropriate U.S. combat elements and/or logistical support, the wide variety of military contingencies that may arise",Cuba,No
198-10004-10076,94,CIA_COVERT_OPERATIONS,8,Secret document detailing covert intelligence and operational plans against Cuba,"intensified covert collection of intelligence within Cuba, especially within the regime",Cuba,No
198-10004-10076,94,CUBAN_EXILE_ACTIVITIES,7,Support for Cuban exiles seeking to restore the 26 of July Movement's original aims,support of Cuban exiles who are seeking to return the 26 of July Movement to its original aims,,No
198-10004-10076,95,BRIGADE_OPERATIONS,7,Recommendation to disband a Brigade military unit and reintegrate members into civilian or U.S. military programs,The Brigade should be disbanded as a military unit and individual members urged to accept civilian training or to enlist in the existing U.S. military program for Cubans and join a Brigade reserve unit thereafter.,,No
198-10004-10076,95,EXILE_COMMUNITY_DYNAMICS,6,Concern about creating a privileged class within the exile community,Our moral obligation would be discharged to the Brigade members and creation of a privileged class in the exile community would be avoided.,,No
198-10004-10076,96,US_CUBA_POLICY,9,Secret memorandum detailing US policy towards Cuba in January 1963,"As for our part, if all offensive weapons systems are removed from Cuba and kept out of the hemisphere in the future, under adequate verification and safeguards...",Cuba,No
198-10004-10076,96,POLITICAL_CONTEXT,8,US commitment to halt Cuban subversion while avoiding military invasion,"We will not... abandon the political, economic and other efforts of this hemisphere to halt subversion from Cuba, nor our purpose and hope that the Cuban people shall some day be truly free.",Cuba,No
198-10004-10076,97,US_CUBA_POLICY,9,Detailed US policy objectives regarding Cuba during Cold War period,Objectives of United States policy with respect to Cuba are:,Cuba,No
198-10004-10076,97,REGIME_CHANGE,8,US explicitly states goal of potentially replacing Cuban government,Encouraging and supporting any developments within Cuba that offer the possibility of replacing the Cuban Government with a regime that would break with the Sino-Soviet Bloc,Cuba|Soviet,No
198-10004-10076,97,FOREIGN_INTERVENTION,7,Comprehensive objectives for controlling Cuban military and diplomatic actions,Preventing Cuba from taking any aggressive military action against other Caribbean states,Cuba,No
198-10004-10076,98,CIA_COVERT_OPERATIONS,8,Secret document outlining U.S. government objectives against Castro regime,Maximizing the cost to the Soviet Union of supporting the Castro regime,Cuba|Soviet,No
198-10004-10076,98,FOREIGN_POLICY,7,Strategy to isolate Cuba diplomatically,"Maximizing the political isolation of the Castro regime from other free world states, and especially from states of the OAS",Cuba,No
198-10004-10076,98,MILITARY_PLANNING,6,Preparedness for potential military contingencies,"Being prepared to meet, with the employment of appropriate U.S. combat elements and/or logistical support, the wide variety of military contingencies that may arise",Cuba,No
198-10004-10076,99,CIA_ACTIVITIES,8,Secret document outlining covert operations against Cuba,"In addition to current covert program, such as intelligence collection, recruitment of Cuban officials as agents, radio broadcasts, support of the Cuban Revolutionary Council(CRC) and other exile group activities and infiltration of propaganda materials",CIA|Cuba,No
198-10004-10076,99,FOREIGN_GOVERNMENT_REACTIONS,7,Strategies for supporting Cuban exiles against Castro regime,"Support the efforts of certain Cuban exiles, who are associated with the original aims of the 26 of July Movement and who believe that the Castro regime can be overthrown",,No
198-10004-10076,99,PROPAGANDA_OPERATIONS,9,Detailed propaganda distribution plan using balloons,Assist Cuban exiles in developing a capability to launch balloons carrying leaflets and other propaganda materials from international waters into Cuba,Cuba,No
198-10004-10076,100,FOREIGN_GOVERNMENT_REACTIONS,7,Document discusses negotiations with Fidel Castro regarding American prisoners,Mr. Donovan's imminent negotiations with Fidel Castro for freeing the 20-odd American prisoners,Cuba,No
198-10004-10076,100,CIA_FBI_ACTIVITIES,6,Secret document detailing potential actions against Cuba,Close United States ports to all vessels of a country whose vessels engage in carrying arms to Cuba,Cuba,No
198-10004-10076,101,FOREIGN_GOVERNMENT_REACTIONS,7,Discussion of diplomatic strategy regarding Cuba and Soviet Bloc,"At the termination of the U. S. Chiefs of Mission Conference... Assistant Secretary Martin... will visit the Presidents of Chile, Mexico and Brazil to convey the importance President Kennedy attaches to maintaining hemispheric solidarity",Cuba|Soviet,No
198-10004-10076,101,CIA_FBI_ACTIVITIES,6,Proposed OAS resolutions targeting Cuba,"An OAS resolution condemning Cuba for its actions which continue to endanger the peace, deploying refusal to allow inspection, condemning the presence of Soviet troops",Cuba|Soviet,No
198-10004-10076,102,FOREIGN_GOVERNMENT_REACTIONS,6,Document discusses OAS (Organization of American States) actions regarding Cuba,prohibition of ships of OAS member states from transporting embargoed items and deny use of ports to ships in Bloc-Cuba trade,Cuba,No
198-10004-10076,103,CUBA_OPERATIONS,8,Detailed contingency planning for operations against Cuba and Castro regime,New opportunities for accomplishing our objectives may arise either as a result of Bloc action in other parts of the world; as a result of aggressive moves (or isolated hostile actions) by the Castro-Communist regime itself; or as a result of uprisings or internal conflict within Cuba.,Cuba,No
198-10004-10076,103,MILITARY_PREPARATIONS,7,Proposed military and intelligence actions against Cuba,"Contingency planning... should include preparations for increased multilateral and/or bilateral political and economic measures, large scale use of Cubans who are now inside Cuba; more extensive air activity including both high and low level flights primarily directed toward surveillance",Cuba,No
198-10004-10076,103,LATIN_AMERICAN_INVOLVEMENT,6,Proposal to involve Latin American forces in potential Cuba operations,U.S. military forces should be accompanied by U.S. militarily-trained free Cubans and by the armed forces of those Latin American nations desiring of participating in the U.S. effort.,Cuba,No
198-10004-10076,104,FOREIGN_GOVERNMENT_REACTIONS,7,Document discusses U.S. policy towards Cuba in the Organization of American States (OAS),"With the conclusion of the U.S.-Soviet talks in New York, the Cuban problem reverts to the OAS context.",Cuba|Soviet,No
198-10004-10076,104,CIA_FBI_ACTIVITIES,6,Detailed diplomatic efforts to isolate Cuba through OAS resolutions,"Acting in this capacity, the COAS/OC on October 23 unanimously passed a resolution calling for the withdrawal of all offensive weapons from Cuba",Cuba,No
198-10004-10076,111,CIA_FBI_ACTIVITIES,7,Secret document discussing potential actions against Cuba and Soviet activities,prohibition of AR ships from transporting embargoed items and deny use of ports to ships in Bloc-Cuba trade,Cuba|Soviet,No
198-10004-10076,111,FOREIGN_GOVERNMENT_REACTIONS,6,Diplomatic strategy regarding Soviet and Cuban relations,denial of overflights and transit rights to Soviet aircraft on Bloc-Cuba runs,Cuba|Soviet,No
198-10004-10076,112,CUBAN_OPERATIONS,7,Secret memorandum about Cuban Brigade from Bay of Pigs invasion,"Approximately 1500 Cubans participated in the Bay of Pigs invasion (known as Brigade 2506), the great majority of whom were captured. In December 1962 over 1100 were released.",,No
198-10004-10076,112,US_FOREIGN_POLICY,6,Discussion of future policy towards Cuban Brigade and trained Cuban militants,A decision on the future of the Cuban Brigade and other Cubans trained militarily by the U.S. must logically proceed from whatever over all policy the U.S. adopts toward Cuba.,Cuba,No
198-10004-10076,113,FOREIGN_GOVERNMENT_REACTIONS,6,Document discusses Cuban resistance and potential refugee impacts,politico-psychological value as a symbol of Cuban resistance to Castro/Communism may more than compensate for its limited military utility.,,No
198-10004-10076,114,FOREIGN_GOVERNMENT_REACTIONS,7,DOD program for Cuban military refugees and potential invasion preparation,"Individual Cubans could continue to be accepted for service in the U. S. Armed Forces and their language, skill and country knowledge could be distributed through various U. S. units which might be used in an invasion.",,No
198-10004-10076,114,CIA_FBI_ACTIVITIES,6,DOD program for integrating Cuban military personnel into US military,DOD has a program providing for enlistment in the U. S. Army of those Cuban nationals between the ages of 18 and 30 who pass entrance requirements.,,No
198-10004-10076,115,CIA_FBI_ACTIVITIES,7,Secret document discussing potential training of Cuban Brigade as a U.S. military reserve component,Train the Brigade and Cubans in training as a unit. Maintain and support them as a military reserve component of the U.S. Armed Forces.,CIA,No
198-10004-10076,115,FOREIGN_GOVERNMENT_REACTIONS,6,Document outlines U.S. strategic objectives regarding Cuba,"to unseat the Castro regime, and would lend weight to arguments that the U.S. may be leaning toward coexistence with the Castro regime.",Cuba,No
198-10004-10076,118,BRIGADE_OPERATIONS,6,Discussion of Brigade members in exile and potential reintegration strategy,Our programs should be designed to encourage the Brigade members to melt back into the exile community and engage in constructive pursuits pending the liberation of Cuba.,Cuba,No
198-10004-10076,119,CUBA_RELATIONS,8,Secret National Security Council memorandum on current problems concerning Cuba,Current Problems Concerning Cuba,Cuba,No
198-10004-10076,119,FOREIGN_GOVERNMENT_REACTIONS,7,Multiple topics related to Cuban missile crisis aftermath and US policy,1. Verification of withdrawal of missiles. 2. Removal of Soviet troops from Cuba.,Cuba|Soviet,No
198-10004-10076,119,CIA_FBI_ACTIVITIES,6,Discussion of intelligence and surveillance activities against Cuba,6. Policy on low-level aerial surveillance as a political weapon against the Castro regime.,Cuba,No
198-10004-10076,121,FOREIGN_GOVERNMENT_REACTIONS,7,Analysis of Cuban-Soviet relations from Italian Embassy report,The possibility that there will soon be a loosening of the political and economic ties with the USSR appears to me to be nil at this time.,Cuba|Soviet,No
198-10004-10076,121,FOREIGN_GOVERNMENT_REACTIONS,6,Insights into Cuba's international diplomatic stance,The Chinese Ambassador to Habana will have done everything possible to convince Castro to resist (and in fact the latter held firm on the question of inspection).,Cuba,No
198-10004-10076,122,FOREIGN_GOVERNMENT_REACTIONS,7,Discussion of Castro's relations with USSR and potential political changes,"In substance Castro, even if he cannot exactly be defined as pro-Khrushchev, is tied to the USSR in such a way that he cannot for any reason release himself.",Soviet,No
198-10004-10076,122,CIA_FBI_ACTIVITIES,6,Diplomatic analysis of Castro's regime and potential political instability,It is difficult for Castro to remain calm. Therefore the revolutionary regime will continue with all means at its disposition to disseminate subversive propaganda.,,No
198-10004-10076,3,FOREIGN_GOVERNMENT_REACTIONS,7,Analysis of Cuban situation and potential revolutionary dynamics,"In conclusion, in judging the Cuban situation it is necessary first to keep in mind the personality and temperament of Fidel Castro, the influence which he has on a part of the population, and finally his deep-rooted hate of the United States.",,No
198-10004-10076,3,CIA_FBI_ACTIVITIES,6,Discussion of potential strategic approaches to Cuban regime,A partial solution would worsen the situation and a definitive solution could be directed only by Washington. I think therefore that only pressure which is accompanied by material strength can obtain results in Cuba.,Cuba,No
198-10004-10076,124,FOREIGN_GOVERNMENT_REACTIONS,7,Discussion of Cuban-Soviet relations and potential geopolitical implications,...when Castro will tried for the solution of the problem - one can hope for a perhaps not too distant day... the USSR is obliged to feed Castro to permit his survival...,Cuba|Soviet,No
178-10002-10215,1,CIA_ACTIVITIES,8,Deposition of a CIA employee related to anti-Castro activities and clandestine operations,"DOCUMENT TYPE: DEPOSITION
SUBJECTS: ANTI-CASTRO ACTIVITIES, CIA, CLANDESTINE OPERATIONS",CIA,No
178-10002-10215,1,ORGANIZED_CRIME_CONNECTIONS,7,Multiple organized crime figures mentioned in document subjects,"SUBJECTS: KENNEDY, ROBERT F., ORGANIZED CRIME, ROSELLI, JOHNNY, GIANCANA, SAM",CIA,No
178-10002-10215,1,WITNESS_TESTIMONIES,6,Deposition from Rockefeller Commission investigating CIA activities,ORIGINATOR: ROCKEFELLER COMMISSION,CIA,No
178-10002-10215,2,CIA_PERSONNEL,8,"Witness William C. Sturbitts is a CIA employee, currently a Special Assistant for Latin America in Economic Intelligence Collection and Operations","I am a Special Assistant, Latin America, for Economic Intelligence Collection and Operations.",CIA,No
178-10002-10215,3,CIA_INTERNAL_OPERATIONS,7,Interview transcript of CIA officer discussing Cuban operations,"Cuban operations, economic warfare",CIA|Cuba,No
178-10002-10215,6,CIA_OPERATIONS,7,Discussion of CIA Miami Station leadership and Cuban operations,Most of my operations were run out of Europe. Some were run out of Miami but the big ones were run out of Europe.,CIA,No
178-10002-10215,6,CIA_PERSONNEL,8,Detailed list of Miami Station Chiefs during the 1960s,In 1963 Ted Shackley was the Chief... Paul Henze was there from 1966 to 1968. Jake Esterline was Chief of Station from 1968 to 1973.,CIA,No
178-10002-10215,7,CIA_FBI_ACTIVITIES,6,Discussion of CIA Special Activities Staff and Cuban Operations Group organizational structure,"Following the Bay of Pigs, they created a thing called Task Force W which was headed by Bill Harvey.",CIA,No
178-10002-10215,7,CIA_FBI_ACTIVITIES,7,Leadership details of special CIA operations units,"It was headed by Desmond Fitzgerald. When Harvey left, he went to Chief of Station, Rome, and Fitzgerald took over",CIA,No
178-10002-10215,8,TASK_FORCE_OPERATIONS,7,Discussion of CIA Task Force W focusing on Cuban operations,It was the overall Cuban operations.,CIA|Cuba,No
178-10002-10215,8,CIA_STATION_LOCATIONS,6,"Miami Station established in Coral Gables around 1960, prior to Bay of Pigs","Well, I think they had a forward operations base down there about 1960 which was small, in Coral Gables.",CIA,No
178-10002-10215,10,CIA_FOREIGN_OPERATIONS,7,Discussion of Cuban operations and potential assassination attempts against Fidel Castro,"In the course of your activities with respect to Cuba, did you ever learn of any such attempts?",CIA|Cuba,No
178-10002-10215,10,FOREIGN_GOVERNMENT_REACTIONS,6,Mention of discussions with a member of Castro's military about acquiring weapons,"I had overheard that discussions were going on with a member of Castro's military but that he wanted, as I recall, he wanted some British -- I mean Belgian rifles and",,No
178-10002-10215,12,CIA_FBI_ACTIVITIES,7,Discussion of Special Activities Staff and potential covert operations involving Cuban military-type contacts,Mr. Sanchez was in the Special Activities Staff. He was stationed in Washington. And he was in contact with Cuban military-type.,CIA,No
178-10002-10215,12,INTERNAL_GOVT_COMMUNICATIONS,8,Reference to Bobby Kennedy overseeing a sensitive government operation,"Bobby Kennedy was overseeing this deal, presumably for his brother, and he was",,No
178-10002-10215,12,FOREIGN_GOVERNMENT_REACTIONS,6,"Mention of activities in Paris, potentially involving intelligence gathering","We had just moved the Station at that time, in Paris, out of the Embassy into the old Rothschild Palace, and we felt that it was probably bugged, so all conversations took place -- we walked around the garden and that type of thing",,No
178-10002-10215,15,CIA_FBI_ACTIVITIES,6,Discussion of Frank Sturgis and his relationship with intelligence agencies,"He has constantly tried to associate himself with the Agency. When I went through his file they wanted me to classify the file and the way I classified it was 'don't destroy it, he is an intelligence nuisance.'",,No
178-10002-10215,16,DCD_OFFICE_INTERACTIONS,6,Discussion of communication between an individual (Mr. Sturgis) and the DCD office in Miami regarding information sharing,Mr. Sturgis has been told by the DCD office in Miami to take his information to the Drug Enforcement Agency or the FBI.,FBI,No
178-10002-10215,18,CIA_OPERATIONS,7,Discussion of maritime operations involving boat captains and covert activities against Cuba,"He was a boat captain eventually. And he did participate in infiltrations and exfiltrations and perhaps one or two raids, hit and run, sabotage-type actions against Cuba.",CIA|Cuba,No
178-10002-10215,18,AGENCY_STRUCTURE,6,Describes operational structure of CIA maritime missions,He had an assigned crew and every boat had a Case Officer operating either out of the -- probably out of the Miami Station.,CIA,No
178-10002-10215,19,CIA_FBI_ACTIVITIES,6,Discussion of CIA Special Activities Staff operations in southern Florida,"intelligence operation consisting of collection of foreign positive intelligence, counterintelligence, paramilitary activities, covert action, economic activities",CIA,No
178-10002-10215,19,CIA_FACILITIES,7,Confirmation of CIA Miami Station and Key West base,"We had activities down in the Keys also. I said, we did have a Key West base.",CIA,No
178-10002-10215,20,CIA_PERSONNEL_OPERATIONS,6,Discussion of CIA involvement with paramilitary training of Cuban operatives,"We trained them at these places we had in the Keys. Now, there also -- some of them were brought up here and trained at the Domestic Training Station.",CIA,No
178-10002-10215,20,PARAMILITARY_TRAINING,7,UDT (Underwater Demolition Team) training facilities mentioned,We did have training facilities for the UDT teams.,,No
